arm,trial,phase,endpoint,seconds,ttfb,http_code,bytes
cacheoff,1,cold,hist_1m,1.801046,1.616195,200,2046012
cacheon,1,warm,hist_1m,0.368590,0.151365,200,2046012
cacheon,1,warm,hist_1m,0.322019,0.140777,200,2046012
cacheon,1,warm,hist_1m,1.742234,0.143063,200,2046012
cacheon,1,warm,hist_1m,0.674837,0.256537,200,2046012
cacheon,1,warm,hist_1m,0.465669,0.210486,200,2046012
cacheon,1,warm,hist_1m,0.347980,0.178420,200,2046012
cacheon,1,warm,hist_1m,1.551917,0.164460,200,2046012
cacheon,1,warm,hist_1m,0.327317,0.156234,200,2046012
cacheoff,1,cold,hist_1d,0.465653,0.314886,200,629560
cacheon,1,warm,hist_1d,0.317355,0.200794,200,629560
cacheon,1,warm,hist_1d,0.242288,0.176231,200,629560
cacheon,1,warm,hist_1d,0.204970,0.136620,200,629560
cacheon,1,warm,hist_1d,0.305157,0.180578,200,629560
cacheon,1,warm,hist_1d,1.574217,0.164002,200,629560
cacheon,1,warm,hist_1d,0.255978,0.185960,200,629560
cacheon,1,warm,hist_1d,0.214164,0.150924,200,629560
cacheon,1,warm,hist_1d,0.203973,0.141828,200,629560
cacheoff,2,cold,hist_1m,0.309290,0.146003,200,2046012
cacheon,2,warm,hist_1m,0.311827,0.149446,200,2046012
cacheon,2,warm,hist_1m,1.936650,0.146338,200,2046012
cacheon,2,warm,hist_1m,0.442955,0.237526,200,2046012
cacheon,2,warm,hist_1m,0.313579,0.149000,200,2046012
cacheon,2,warm,hist_1m,0.350289,0.149360,200,2046012
cacheon,2,warm,hist_1m,1.415402,0.145019,200,2046012
cacheon,2,warm,hist_1m,0.313773,0.140373,200,2046012
cacheon,2,warm,hist_1m,0.347343,0.152149,200,2046012
cacheoff,2,cold,hist_1d,1.675330,0.276925,200,629560
cacheon,2,warm,hist_1d,0.214121,0.144009,200,629560
cacheon,2,warm,hist_1d,0.239792,0.175114,200,629560
cacheon,2,warm,hist_1d,0.206517,0.135610,200,629560
cacheon,2,warm,hist_1d,0.221417,0.156874,200,629560
cacheon,2,warm,hist_1d,0.222244,0.150933,200,629560
cacheon,2,warm,hist_1d,0.203334,0.140196,200,629560
cacheon,2,warm,hist_1d,0.212839,0.150327,200,629560
cacheon,2,warm,hist_1d,0.213882,0.144465,200,629560
cacheoff,3,cold,hist_1m,1.843153,1.767953,200,290497
cacheon,3,warm,hist_1m,0.195210,0.157638,200,290497
cacheon,3,warm,hist_1m,0.198820,0.154001,200,290497
cacheon,3,warm,hist_1m,0.266319,0.201580,200,290497
cacheon,3,warm,hist_1m,0.182808,0.144193,200,290497
cacheon,3,warm,hist_1m,0.177139,0.140968,200,290497
cacheon,3,warm,hist_1m,0.185907,0.140478,200,290497
cacheon,3,warm,hist_1m,0.191356,0.150704,200,290497
cacheon,3,warm,hist_1m,0.199381,0.155020,200,290497
cacheoff,3,cold,hist_1d,0.414232,0.308271,200,629560
cacheon,3,warm,hist_1d,0.348877,0.206383,200,629560
cacheon,3,warm,hist_1d,1.597928,0.139437,200,629560
cacheon,3,warm,hist_1d,0.314400,0.167780,200,629560
cacheon,3,warm,hist_1d,0.251035,0.145424,200,629560
cacheon,3,warm,hist_1d,0.310547,0.212796,200,629560
cacheon,3,warm,hist_1d,0.292258,0.230935,200,629560
cacheon,3,warm,hist_1d,0.377235,0.300291,200,629560
cacheon,3,warm,hist_1d,0.295029,0.142989,200,629560
cacheoff,4,cold,hist_1m,0.459192,0.231531,200,2045916
cacheon,4,warm,hist_1m,1.400212,0.172294,200,2045916
cacheon,4,warm,hist_1m,0.546088,0.327741,200,2045916
cacheon,4,warm,hist_1m,0.469636,0.284238,200,2045916
cacheon,4,warm,hist_1m,1.569349,0.236456,200,2045916
cacheon,4,warm,hist_1m,0.480159,0.215960,200,2045916
cacheon,4,warm,hist_1m,0.401170,0.140912,200,2045916
cacheon,4,warm,hist_1m,0.464333,0.145525,200,2045916
cacheon,4,warm,hist_1m,1.547451,0.160773,200,2045916
cacheoff,4,cold,hist_1d,1.111441,1.040933,200,629560
cacheon,4,warm,hist_1d,0.405980,0.211870,200,629560
cacheon,4,warm,hist_1d,0.331611,0.173583,200,629560
cacheon,4,warm,hist_1d,0.281519,0.158968,200,629560
cacheon,4,warm,hist_1d,0.272474,0.191464,200,629560
cacheon,4,warm,hist_1d,1.581952,1.480959,200,629560
cacheon,4,warm,hist_1d,0.312464,0.222177,200,629560
cacheon,4,warm,hist_1d,0.344271,0.266810,200,629560
cacheon,4,warm,hist_1d,0.328403,0.237383,200,629560
cacheoff,5,cold,hist_1m,0.420862,0.157752,200,2045916
cacheon,5,warm,hist_1m,0.373916,0.146729,200,2045916
cacheon,5,warm,hist_1m,1.601334,0.225777,200,2045916
cacheon,5,warm,hist_1m,0.385706,0.220898,200,2045916
cacheon,5,warm,hist_1m,0.380370,0.196112,200,2045916
cacheon,5,warm,hist_1m,1.710295,0.147856,200,2045916
cacheon,5,warm,hist_1m,0.347615,0.170809,200,2045916
cacheon,5,warm,hist_1m,0.383656,0.154081,200,2045916
cacheon,5,warm,hist_1m,1.601717,0.148537,200,2045916
cacheoff,5,cold,hist_1d,0.301848,0.202106,200,629560
cacheon,5,warm,hist_1d,0.318070,0.248033,200,629560
cacheon,5,warm,hist_1d,0.300322,0.147492,200,629560
cacheon,5,warm,hist_1d,0.225148,0.148765,200,629560
cacheon,5,warm,hist_1d,0.307624,0.151031,200,629560
cacheon,5,warm,hist_1d,0.262516,0.171387,200,629560
cacheon,5,warm,hist_1d,1.457889,0.163257,200,629560
cacheon,5,warm,hist_1d,0.303816,0.150768,200,629560
cacheon,5,warm,hist_1d,0.218331,0.152955,200,629560
cacheoff,6,cold,hist_1m,0.420741,0.139184,200,2045916
cacheon,6,warm,hist_1m,0.385377,0.144380,200,2045916
cacheon,6,warm,hist_1m,1.517658,0.150735,200,2045916
cacheon,6,warm,hist_1m,0.333178,0.163526,200,2045916
cacheon,6,warm,hist_1m,0.401367,0.224267,200,2045916
cacheon,6,warm,hist_1m,1.367722,0.230557,200,2045916
cacheon,6,warm,hist_1m,0.502453,0.208549,200,2045916
cacheon,6,warm,hist_1m,0.425060,0.147659,200,2045916
cacheon,6,warm,hist_1m,1.402159,0.157663,200,2045916
cacheoff,6,cold,hist_1d,0.447501,0.303674,200,629560
cacheon,6,warm,hist_1d,0.212206,0.143051,200,629560
cacheon,6,warm,hist_1d,0.205790,0.140913,200,629560
cacheon,6,warm,hist_1d,0.218022,0.148844,200,629560
cacheon,6,warm,hist_1d,0.204396,0.142748,200,629560
cacheon,6,warm,hist_1d,1.285929,0.153571,200,629560
cacheon,6,warm,hist_1d,0.222156,0.152287,200,629560
cacheon,6,warm,hist_1d,0.227042,0.156780,200,629560
cacheon,6,warm,hist_1d,0.228996,0.159963,200,629560
cacheoff,7,cold,hist_1m,0.311650,0.144682,200,2045916
cacheon,7,warm,hist_1m,1.689851,0.149725,200,2045916
cacheon,7,warm,hist_1m,0.464344,0.212093,200,2045916
cacheon,7,warm,hist_1m,0.304838,0.139538,200,2045916
cacheon,7,warm,hist_1m,1.300992,0.141413,200,2045916
