arm,trial,phase,endpoint,seconds,http_code,bytes
baseline,1,boot,health,23.062,200,0
baseline,1,cold,market,0.002762,400,435
baseline,1,warm,market,0.000710,400,435
baseline,1,warm,market,0.000649,400,435
baseline,1,warm,market,0.000614,400,435
baseline,1,cold,hist_1m_5d,10.094201,503,159
baseline,1,warm,hist_1m_5d,10.010401,503,159
baseline,1,warm,hist_1m_5d,10.009155,503,159
baseline,1,warm,hist_1m_5d,10.013625,503,159
baseline,1,cold,hist_1d,10.013016,503,159
baseline,1,warm,hist_1d,10.012626,503,158
baseline,1,warm,hist_1d,10.012810,503,159
baseline,1,warm,hist_1d,10.013139,503,159
baseline,1,cold,gamma,10.022109,503,159
baseline,1,warm,gamma,10.010521,503,159
baseline,1,warm,gamma,10.009942,503,159
baseline,1,warm,gamma,10.007838,503,159
